"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1434","test_response_structure[15m-USDT-POL]","tests.basic","Wed Sep 17 17:56:16 GMT 2025","passed","Wed Sep 17 17:56:18 GMT 2025","","test_data_structure","",""
"","1408","test_no_duplicate_dates[1h-DAI-USDT]","tests.validation","Wed Sep 17 18:02:10 GMT 2025","passed","Wed Sep 17 18:02:12 GMT 2025","","test_date_validation","",""
"","1423","test_response_structure[-POL-DAI]","tests.basic","Wed Sep 17 17:55:09 GMT 2025","passed","Wed Sep 17 17:55:11 GMT 2025","","test_data_structure","",""
"","1386","test_api_availability[1w-CES-POL]","tests.basic","Wed Sep 17 17:54:05 GMT 2025","passed","Wed Sep 17 17:54:06 GMT 2025","","test_availability","",""
"","1430","test_non_empty_data[1h-POL-USDT]","tests.basic","Wed Sep 17 17:57:24 GMT 2025","passed","Wed Sep 17 17:57:25 GMT 2025","","test_data_structure","",""
"","1415","test_non_empty_data[1w-CES-DAI]","tests.basic","Wed Sep 17 17:57:04 GMT 2025","passed","Wed Sep 17 17:57:05 GMT 2025","","test_data_structure","",""
"","1441","test_no_duplicate_dates[-POL-CES]","tests.validation","Wed Sep 17 18:01:16 GMT 2025","passed","Wed Sep 17 18:01:17 GMT 2025","","test_date_validation","",""
"","256","test_zero_volume_cases[1h-POL-CES]","tests.special","Wed Sep 17 17:59:04 GMT 2025","failed","Wed Sep 17 17:59:05 GMT 2025","","test_edge_cases","",""
"","1420","test_api_availability[4h-CES-POL]","tests.basic","Wed Sep 17 17:54:22 GMT 2025","passed","Wed Sep 17 17:54:23 GMT 2025","","test_availability","",""
"","847","test_inverse_pairs[DAI-USDT]","tests.consistency","Wed Sep 17 17:58:03 GMT 2025","passed","Wed Sep 17 17:58:04 GMT 2025","","test_inverse_pairs","",""
"","1440","test_api_availability[4h-USDT-POL]","tests.basic","Wed Sep 17 17:54:16 GMT 2025","passed","Wed Sep 17 17:54:18 GMT 2025","","test_availability","",""
"","909","test_inverse_pairs[POL-CES]","tests.consistency","Wed Sep 17 17:58:02 GMT 2025","failed","Wed Sep 17 17:58:02 GMT 2025","","test_inverse_pairs","",""
"","1418","test_dates_ordered[-USDT-CES]","tests.validation","Wed Sep 17 17:59:56 GMT 2025","passed","Wed Sep 17 17:59:58 GMT 2025","","test_date_validation","",""
"","1440","test_dates_ordered[4h-POL-USDT]","tests.validation","Wed Sep 17 18:00:18 GMT 2025","passed","Wed Sep 17 18:00:19 GMT 2025","","test_date_validation","",""
"","2601","test_timeframe_consistency[POL-CES]","tests.consistency","Wed Sep 17 17:58:19 GMT 2025","passed","Wed Sep 17 17:58:22 GMT 2025","","test_timeframe_consistency","",""
"","1433","test_api_availability[1h-DAI-POL]","tests.basic","Wed Sep 17 17:54:36 GMT 2025","passed","Wed Sep 17 17:54:38 GMT 2025","","test_availability","",""
"","1377","test_no_duplicate_dates[1w-CES-POL]","tests.validation","Wed Sep 17 18:01:34 GMT 2025","passed","Wed Sep 17 18:01:35 GMT 2025","","test_date_validation","",""
"","1400","test_dates_ordered[1w-DAI-POL]","tests.validation","Wed Sep 17 18:00:05 GMT 2025","passed","Wed Sep 17 18:00:06 GMT 2025","","test_date_validation","",""
"Проверяет, что цены в разумных пределах","1439","test_price_ranges[4h-CES-DAI]","tests.validation","Wed Sep 17 18:04:42 GMT 2025","passed","Wed Sep 17 18:04:43 GMT 2025","","test_price_validation","",""
"","1409","test_api_availability[-CES-POL]","tests.basic","Wed Sep 17 17:53:48 GMT 2025","passed","Wed Sep 17 17:53:49 GMT 2025","","test_availability","",""
"","1790","test_timeframe_consistency[DAI-CES]","tests.consistency","Wed Sep 17 17:58:37 GMT 2025","passed","Wed Sep 17 17:58:38 GMT 2025","","test_timeframe_consistency","",""
"","354","test_zero_volume_cases[1w-DAI-USDT]","tests.special","Wed Sep 17 17:58:59 GMT 2025","failed","Wed Sep 17 17:58:59 GMT 2025","","test_edge_cases","",""
"Проверяет, что цены в разумных пределах","1401","test_price_ranges[-CES-USDT]","tests.validation","Wed Sep 17 18:04:12 GMT 2025","passed","Wed Sep 17 18:04:13 GMT 2025","","test_price_validation","",""
"","1426","test_date_format_and_range[4h-USDT-DAI]","tests.validation","Wed Sep 17 18:03:21 GMT 2025","passed","Wed Sep 17 18:03:22 GMT 2025","","test_date_validation","",""
"","1470","test_api_availability[15m-DAI-POL]","tests.basic","Wed Sep 17 17:54:53 GMT 2025","passed","Wed Sep 17 17:54:55 GMT 2025","","test_availability","",""
"","257","test_zero_volume_cases[1w-USDT-DAI]","tests.special","Wed Sep 17 17:58:59 GMT 2025","failed","Wed Sep 17 17:58:59 GMT 2025","","test_edge_cases","",""
"","1907","test_volume_positive[1w-POL-CES]","tests.validation","Wed Sep 17 18:06:56 GMT 2025","passed","Wed Sep 17 18:06:58 GMT 2025","","test_volume_validation","",""
"","250","test_zero_volume_cases[-CES-DAI]","tests.special","Wed Sep 17 17:58:56 GMT 2025","failed","Wed Sep 17 17:58:57 GMT 2025","","test_edge_cases","",""
"Проверяет, что цены в разумных пределах","1411","test_price_ranges[1h-POL-USDT]","tests.validation","Wed Sep 17 18:04:44 GMT 2025","passed","Wed Sep 17 18:04:46 GMT 2025","","test_price_validation","",""
"","1439","test_dates_ordered[-POL-USDT]","tests.validation","Wed Sep 17 17:59:43 GMT 2025","passed","Wed Sep 17 17:59:45 GMT 2025","","test_date_validation","",""
"","1926","test_volume_positive[4h-USDT-CES]","tests.validation","Wed Sep 17 18:07:29 GMT 2025","passed","Wed Sep 17 18:07:31 GMT 2025","","test_volume_validation","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1398","test_candle_validity[1w-POL-CES]","tests.validation","Wed Sep 17 18:05:30 GMT 2025","passed","Wed Sep 17 18:05:31 GMT 2025","","test_price_validation","",""
"","1469","test_api_availability[4h-CES-DAI]","tests.basic","Wed Sep 17 17:54:29 GMT 2025","passed","Wed Sep 17 17:54:31 GMT 2025","","test_availability","",""
"","1959","test_volume_positive[4h-USDT-POL]","tests.validation","Wed Sep 17 18:07:13 GMT 2025","passed","Wed Sep 17 18:07:15 GMT 2025","","test_volume_validation","",""
"","1485","test_non_empty_data[1h-USDT-DAI]","tests.basic","Wed Sep 17 17:57:34 GMT 2025","passed","Wed Sep 17 17:57:35 GMT 2025","","test_data_structure","",""
"","1265","test_timeframe_consistency_2_weeks[USDT-POL]","tests.consistency","Wed Sep 17 17:58:40 GMT 2025","skipped","Wed Sep 17 17:58:41 GMT 2025","","test_timeframe_consistency","",""
"","1260","test_timeframe_consistency_2_weeks[DAI-USDT]","tests.consistency","Wed Sep 17 17:58:46 GMT 2025","skipped","Wed Sep 17 17:58:47 GMT 2025","","test_timeframe_consistency","",""
"","1433","test_dates_ordered[4h-CES-POL]","tests.validation","Wed Sep 17 18:00:25 GMT 2025","passed","Wed Sep 17 18:00:26 GMT 2025","","test_date_validation","",""
"","1404","test_api_availability[1h-CES-POL]","tests.basic","Wed Sep 17 17:54:39 GMT 2025","passed","Wed Sep 17 17:54:41 GMT 2025","","test_availability","",""
"","1403","test_api_availability[1h-POL-USDT]","tests.basic","Wed Sep 17 17:54:32 GMT 2025","passed","Wed Sep 17 17:54:33 GMT 2025","","test_availability","",""
"","1405","test_non_empty_data[1h-CES-USDT]","tests.basic","Wed Sep 17 17:57:35 GMT 2025","passed","Wed Sep 17 17:57:37 GMT 2025","","test_data_structure","",""
"Проверяет, что close находится между low и high, а также другие свечные правила","1415","test_candle_validity[-CES-POL]","tests.validation","Wed Sep 17 18:05:19 GMT 2025","passed","Wed Sep 17 18:05:21 GMT 2025","","test_price_validation","",""
"","1429","test_response_structure[1h-POL-CES]","tests.basic","Wed Sep 17 17:56:03 GMT 2025","passed","Wed Sep 17 17:56:05 GMT 2025","","test_data_structure","",""
